userId,subscriptionBalance,paymentBalance,request_id,timestamp
8fd614d8-9638-4c66-8345-319280777aae,31.5,1376.691,4abf8502-dd06-50f5-b7cf-db1b7197c2cd,2024-01-11T08:44:23.483Z
d5aae41c-e806-48f6-a980-25f322899a4a,1080.44,2790.44,156704ee-7279-5255-8a87-5a491bacc354,2024-04-27T21:01:16.578Z
30258a94-92e8-4fe1-b8e5-0033deddc1a4,1731.74,3171.74,f3eaad47-8ce2-58cb-a660-f3e0e53079ca,2024-04-27T21:01:06.501Z
fa868335-ad20-473c-8442-c67a9ef35b23,203.341,83.341,9bf1824a-6a4c-5686-97cb-dcfd519fc280,2024-05-09T21:01:07.695Z
e635a3ea-fc8b-46c4-b091-5480637486ad,20.5,1557.864,a9932703-54bf-5779-baea-7973a65df5e0,2024-03-17T13:31:33.424Z
8b293101-dfef-43ed-9095-ac05a1507d34,114.726,32.908,99e068ac-d503-535e-9c1e-36246d7433aa,2024-04-04T14:16:41.789Z
8b293101-dfef-43ed-9095-ac05a1507d34,5.635,,a693ac6f-2f84-546e-9435-f2e7970d449a,2024-04-04T14:16:52.545Z
30258a94-92e8-4fe1-b8e5-0033deddc1a4,1636.09,3076.09,6ac9bb79-ba49-5f6b-8e4b-e5d1011d4612,2024-04-28T21:01:09.366Z
fa868335-ad20-473c-8442-c67a9ef35b23,273.0,153.0,6ac9bb79-ba49-5f6b-8e4b-e5d1011d4612,2024-04-28T21:01:09.570Z
804d97c8-bf70-4f6d-ad3b-8b63bb543104,237.0,219.0,daf7d3b2-2329-535f-9c1b-8dbc5c6cd193,2024-01-02T21:15:49.993Z
53a97579-16a4-47ef-83ec-c7b209e65c4e,180.0,162.0,daf7d3b2-2329-535f-9c1b-8dbc5c6cd193,2024-01-02T21:15:50.093Z
87c848f8-99e3-4d14-a0a6-117bc5cee05b,246.0,228.0,daf7d3b2-2329-535f-9c1b-8dbc5c6cd193,2024-01-02T21:15:50.171Z
47d03621-dec7-4429-bee2-02be753fcdc4,201.0,183.0,daf7d3b2-2329-535f-9c1b-8dbc5c6cd193,2024-01-02T21:15:50.277Z
1b171d44-c711-4d92-987a-51b0e2b133d8,225.0,207.0,daf7d3b2-2329-535f-9c1b-8dbc5c6cd193,2024-01-02T21:15:50.359Z
20f25ac8-8c5b-4ddf-a655-12257aed6fff,264.0,246.0,daf7d3b2-2329-535f-9c1b-8dbc5c6cd193,2024-01-02T21:15:50.468Z
d90f50f5-4657-452d-a172-20c8d89dfc94,225.0,207.0,daf7d3b2-2329-535f-9c1b-8dbc5c6cd193,2024-01-02T21:15:50.557Z
8c5e33e3-3618-4d09-8e79-c8d42c74731d,246.0,228.0,daf7d3b2-2329-535f-9c1b-8dbc5c6cd193,2024-01-02T21:15:50.635Z
d9e8cfc2-2de6-4ea9-976c-f7fcd4e44b13,1830.0,1650.0,daf7d3b2-2329-535f-9c1b-8dbc5c6cd193,2024-01-02T21:15:50.718Z
709c6d90-afa7-4f96-add9-be439e085a89,128.5,110.5,daf7d3b2-2329-535f-9c1b-8dbc5c6cd193,2024-01-02T21:15:50.800Z
4531caaa-fb25-419c-b8cc-1e41df747a6a,237.0,219.0,28f1931a-abf0-5476-b63c-cd14d4b87f6f,2024-01-02T21:15:52.203Z
ef949991-e8a5-4f14-9f66-915f761ae0f8,162.0,144.0,28f1931a-abf0-5476-b63c-cd14d4b87f6f,2024-01-02T21:15:52.340Z
3239a143-f9bf-4b01-9885-26d3e10f4933,216.0,198.0,28f1931a-abf0-5476-b63c-cd14d4b87f6f,2024-01-02T21:15:52.502Z
ae273dbb-7c60-4427-aee6-164103d514b5,225.5,207.5,28f1931a-abf0-5476-b63c-cd14d4b87f6f,2024-01-02T21:15:52.597Z
4e84f0ec-7629-49dc-b110-27a6eb9b4d9c,237.0,555.0,28f1931a-abf0-5476-b63c-cd14d4b87f6f,2024-01-02T21:15:52.678Z
e11c95b2-2f68-4c79-9cd1-47cd978c81b5,207.0,189.0,28f1931a-abf0-5476-b63c-cd14d4b87f6f,2024-01-02T21:15:52.811Z
b1d7d4bd-f8f6-4592-9fa3-f2275305d802,216.0,198.0,28f1931a-abf0-5476-b63c-cd14d4b87f6f,2024-01-02T21:15:52.910Z
35790c79-2aad-4b1c-b9e0-4ca04d71f93a,207.0,189.0,28f1931a-abf0-5476-b63c-cd14d4b87f6f,2024-01-02T21:15:52.993Z
d660234f-ebd5-41da-919b-b125cfe67889,255.0,237.0,28f1931a-abf0-5476-b63c-cd14d4b87f6f,2024-01-02T21:15:53.064Z
9f4df114-f657-4b93-af46-af0c3922bdef,228.0,210.0,aeff70fd-1e13-5c34-81d9-2ef36159372d,2024-01-02T21:15:54.876Z
582f1b94-4c13-41e6-81ec-6203bb0f2a06,243.5,225.5,aeff70fd-1e13-5c34-81d9-2ef36159372d,2024-01-02T21:15:54.948Z
5fd7a797-569b-483e-9e96-9361757e3749,246.0,228.0,aeff70fd-1e13-5c34-81d9-2ef36159372d,2024-01-02T21:15:55.032Z
53fbb8f0-608a-43af-b8c0-ba03894e147a,255.0,237.0,aeff70fd-1e13-5c34-81d9-2ef36159372d,2024-01-02T21:15:55.142Z
dad65afc-5053-4bfb-bab4-c4238e52842d,237.0,219.0,aeff70fd-1e13-5c34-81d9-2ef36159372d,2024-01-02T21:15:55.215Z
1b5748cb-c677-44ab-9d61-940e554fc014,138.5,123.5,aeff70fd-1e13-5c34-81d9-2ef36159372d,2024-01-02T21:15:55.380Z
72b8eeff-c0f0-4665-bbbe-a1b1a6730a51,560.5,303.7,aca89651-2196-5e90-8347-c82faac35cff,2024-03-27T21:01:09.734Z
9a19fa44-d798-4468-b553-9db30af97ea6,540.0,4860.0,aca89651-2196-5e90-8347-c82faac35cff,2024-03-27T21:01:09.821Z
1b3be8bc-3813-4dff-b42c-43efbdcfc5ae,829.409,1314.409,69d3eefd-efcc-5cb3-bbf7-b0813b854ffa,2024-03-26T13:48:11.690Z
1b3be8bc-3813-4dff-b42c-43efbdcfc5ae,917.318,1402.318,82f7999c-27c2-5448-8315-c7e0f36a79f6,2024-03-26T13:49:33.228Z
1b3be8bc-3813-4dff-b42c-43efbdcfc5ae,759.409,1244.409,ff6cfc2d-de98-5e00-9bc9-a2510df08953,2024-03-26T13:44:25.106Z
0337b933-9ab8-4c7d-8c1b-80059f3164a4,1800.0,10440.0,c558253c-45d2-5fc1-834d-7b155b82bedc,2024-01-23T01:53:41.237Z
ec5a25e9-6a06-43fa-9eca-0e31ec111076,139.181,3353.878,3647b6dc-19b9-51de-b586-e85a61f1a6b2,2024-04-02T21:18:00.784Z
5e6b408a-7110-4237-98f2-963f77bd8034,3510.0,1710.0,09211502-ee91-5f37-a754-4bb9dea8f549,2024-05-12T21:00:58.247Z
4a4ad1a7-e6bf-4c00-a455-fafde2242a19,198.0,378.0,0e944af2-ed25-5141-a04d-1449dd6f3b3f,2024-05-12T21:00:58.738Z
2f4e1f0d-2cd3-4baf-83df-28b52498b061,3510.0,1710.0,6a7f98ee-7d98-59d7-b393-c6554dd3a3a9,2024-05-12T21:00:59.338Z
fa868335-ad20-473c-8442-c67a9ef35b23,177.841,57.841,c631ee90-eaf3-5a4f-aeb7-b02bdabe5aa1,2024-05-12T21:01:01.618Z
ada642e4-bef1-4fd9-8b93-7f3f3813ae19,201.219,185.219,04b8322c-5820-541c-bdf4-6c97686ee4f2,2024-05-12T21:01:02.871Z
a14aa589-0355-43f7-ab70-f4e230e1be91,3510.0,1710.0,93fb8a0f-1929-5135-8503-d4b4296781db,2024-05-12T21:01:03.123Z
ea65d901-c13b-468f-bfa7-9920246c4dc4,3510.0,1710.0,e08a8217-5729-53eb-9fe8-dcac67664305,2024-05-12T21:01:04.106Z
